COD_DISCIPLINA,NOME_DISCIPLINA,PERIODO_IDEAL,TIPO_DISCIPLINA,CH_TOTAL,DESCR_SITUACAO
CI1338,GEOMETRIA COMPUTACIONAL,,Optativa,60,ATIVA
CI1339,COMPLEXIDADE COMPUTACIONAL,,Optativa,60,ATIVA
CI1351,TÓPICOS EM INTERAÇÃO HUMANO-COMPUTADOR,,Optativa,60,ATIVA
CI1352,DESIGN DE SISTEMAS SOCIOTÉCNICOS,,Optativa,60,ATIVA
CI1353,PRÁTICA EM DESENVOLVIMENTO DE SOFTWARE,,Optativa,61,ATIVA
CI1355,TÓPICOS EM ALGORITMOS,,Optativa,60,ATIVA
CI1360,REDES MÓVEIS,,Optativa,60,ATIVA
CI1365,TÓPICOS EM REDES DE COMPUTADORES,,Optativa,60,ATIVA
CI1366,GERENCIAMENTO DE REDES DE COMPUTADORES,,Optativa,60,ATIVA
CI1367,TÓPICOS EM SIMULAÇÃO DE SISTEMAS COMPUTACIONAIS,,Optativa,60,ATIVA
CI1394,PROCESSAMENTO DE IMAGENS,,Optativa,60,ATIVA
CI1397,SISTEMAS TUTORES INTELIGENTES,,Optativa,60,ATIVA
CI171,APRENDIZADO DE MÁQUINAS,,Optativa,60,ATIVA
CI1070,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ENGENHARIA DE SOFTWARE,7,Optativa,150,ATIVA
CI1072,TRABALHO DE CONCLUSÃO DE CURSO 1 EM BANCOS DE DADOS,7,Optativa,150,ATIVA
CI1074,TRABALHO DE CONCLUSÃO DE CURSO 1 EM REDES DE COMPUTADORES,7,Optativa,150,ATIVA
CI1076,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ADMINISTRAÇÃO DE INFORMÁTICA,7,Optativa,150,ATIVA
CI1078,TRABALHO DE CONCLUSÃO DE CURSO 1 EM COMPUTAÇÃO GRÁFICA,7,Optativa,150,ATIVA
CI1080,TRABALHO DE CONCLUSÃO DE CURSO 1 EM INTELIGÊNCIA ARTIFICIAL,7,Optativa,150,ATIVA
CI1082,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,7,Optativa,150,ATIVA
CI1098,TRABALHO DE CONCLUSÃO DE CURSO 1 EM INFORMÁTICA NA EDUCAÇÃO,7,Optativa,150,ATIVA
CI1250,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ALGORITMOS E GRAFOS,7,Optativa,150,ATIVA
CI1252,TRABALHO DE CONCLUSÃO DE CURSO 1 EM TEORIA DA COMPUTAÇÃO,7,Optativa,150,ATIVA
CI1254,TRABALHO DE CONCLUSÃO DE CURSO 1 EM SISTEMAS DIGITAIS,7,Optativa,150,ATIVA
CI1256,TRABALHO DE CONCLUSÃO DE CURSO I EM SISTEMAS OPERACIONAIS,7,Optativa,150,ATIVA
CI1258,TRABALHO DE CONCLUSÃO DE CURSO I EM INTERAÇÃO HUMANO-COMPUTADOR,7,Optativa,150,ATIVA
CI1260,TRABALHO DE CONCLUSÃO DE CURSO 1 EM PROCESSAMENTO DE IMAGENS,7,Optativa,150,ATIVA
CI1071,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ENGENHARIA DE SOFTWARE,8,Optativa,150,ATIVA
CI1073,TRABALHO DE CONCLUSÃO DE CURSO 2 EM BANCOS DE DADOS,8,Optativa,150,ATIVA
CI1075,TRABALHO DE CONCLUSÃO DE CURSO 2 EM REDES DE COMPUTADORES,8,Optativa,150,ATIVA
CI1077,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ADMINISTRAÇÃO DE INFORMÁTICA,8,Optativa,150,ATIVA
CI1079,TRABALHO DE CONCLUSÃO DE CURSO 2 EM COMPUTAÇÃO GRÁFICA,8,Optativa,150,ATIVA
CI1081,TRABALHO DE CONCLUSÃO DE CURSO 2 EM INTELIGÊNCIA ARTIFICIAL,8,Optativa,150,ATIVA
CI1083,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,8,Optativa,150,ATIVA
CI1099,TRABALHO DE CONCLUSÃO DE CURSO 2 EM INFORMÁTICA NA EDUCAÇÃO,8,Optativa,150,ATIVA
CI1251,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ALGORITMOS E GRAFOS,8,Optativa,150,ATIVA
CI1253,TRABALHO DE CONCLUSÃO DE CURSO 2 EM TEORIA DA COMPUTAÇÃO,8,Optativa,150,ATIVA
CI1255,TRABALHO DE CONCLUSÃO DE CURSO 2 EM SISTEMAS DIGITAIS,8,Optativa,150,ATIVA
CI1257,TRABALHO DE CONCLUSÃO DE CURSO 2 EM SISTEMAS OPERACIONAIS,8,Obrigatoria,150,ATIVA
CI1259,TRABALHO DE CONCLUSÃO DE CURSO 2 EM INTERAÇÃO HUMANO-COMPUTADOR,8,Optativa,150,ATIVA
CI1261,TRABALHO DE CONCLUSÃO DE CURSO 2 EM PROCESSAMENTO DE IMAGENS,8,Optativa,150,ATIVA
